defined_class	defined_class_name	location	location_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001409		UBERON:0001007	digestive system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001410		UBERON:0004535	cardiovascular system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001411		UBERON:0001009	circulatory system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001412		UBERON:8450002	excretory system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001413		UBERON:0002330	exocrine system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001414		UBERON:0004122	genitourinary system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001415		UBERON:0002390	hematopoietic system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001416		UBERON:0002416	integumental system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001417		UBERON:0002097	skin of body	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001418		UBERON:0002204	musculoskeletal system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001419		UBERON:0001016	nervous system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001420		UBERON:0000990	reproductive system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
MAXO:0001421		UBERON:0001004	respiratory system	http://orcid.org/0000-0001-7941-2961	2023-03-30T20:39:14Z				
